No. Cuenta,RPU,Nombre,Direccion,Colonia,Tarifa,Hilos,Carga Ins.,Demanda Cont.,Tipo Sum,Promedio Diario,No. Medidor,Año,Censo Fecha,No. Lamparas
78DP08E397800013,068090300931,MPIO CORTAZAR,AV DEL CANAL POB LA MOCHA     ,MOCHA LA CORTAZAR             ,5A,2,0.762,0.705,2,13.1333,UF546M,2023,27/09/2023,9
78DP08E397800011,068111203109,MPIO CORTAZAR,CALLE FRESNO Y CALLE CERRO    ,MOCHA LA CORTAZAR             ,5A,2,0,0,2,8,JNG782,2023,22/06/2023,6
74DP08E047300135,068120205491,MPIO CORTAZAR,1 RA DE MAYO                  ,SAN FCO DE LOS LEON CORTAZA   ,5A,2,0.45,1,2,0.7586,UF011M,2023,28/09/2023,6
74DP08E047300140,068050402782,MPIO CORTAZAR,ENTRADA A CANADA DE CARACHEO  ,CANADA DE CARACHEO CORTAZAR   ,5A,2,1.531,1.295,2,26.8621,UF012M,2023,25/09/2023,19
74DP08E047300145,068160356654,MPIO CORTAZAR,EMILIANO ZAPATA S N           ,CANADA DE CARACHEO CORTAZAR   ,5A,2,0.487,0.545,2,1.4483,UF025M,2023,25/09/2023,6
78DP08E137800011,068170700736,MPIO CORTAZAR,FRANCISCO I MADERO S N        ,NULL,5A,2,0.625,0.625,2,40,UF026M,2023,26/09/2023,5
78DP08E137800012,068050501195,MPIO CORTAZAR,CARR CORT JARAL EL DIEZMO     ,NULL,5A,2,0,0,2,29,2C273A,2023,22/06/2023,42
80DP08E035500001,068830100320,MPIO CORTAZAR,LOMA LINDA  GTO               ,LOMALINDA CORTAZAR            ,5A,1,5.893,4.12,3,70.7,n/c,2023,28/09/2023,50
80DP08E065500002,068841200946,MPIO CORTAZAR,SAN ISIDRO CULIACAN  GTO      ,SAN ISIDRO CULIACAN CORTAZA   ,5A,1,12.418,11.68,3,149,n/c,2023,29/09/2023,131
80DP08E075500001,068830700327,MPIO CORTAZAR,PURISIMA DEL POBLANO          ,POBLANO EL CORTAZAR           ,5A,1,2.956,5.645,3,35.4667,n/c,2023,29/09/2023,27
80DP08E145500005,068911100936,MPIO CORTAZAR,LA HUERTA  GTO                ,HUERTA LA CORTAZAR            ,5A,1,6.368,10.287,3,76.4,n/c,2023,27/09/2023,55
80DP08E165500005,068921100934,MPIO CORTAZAR,BELLAVISTA  GTO               ,BELLAVISTA CORTAZAR           ,5A,1,7.237,5.245,3,86.8333,n/c,2023,25/09/2023,92
80DP08E175500005,068040757949,MPIO CORTAZAR,TIERRAFRIA  GTO               ,TIERRAFRIA CORTAZAR           ,5A,2,15.612,3.75,3,187.3333,n/c,2023,30/09/2023,133
80DP08E185500005,068870200947,MPIO CORTAZAR,LA MINILLA  GTO               ,MINILLA LA CORTAZAR           ,5A,1,1.937,3.688,3,23.2333,n/c,2023,28/09/2023,19
80DP08E245500005,068870300941,MPIO CORTAZAR,LA GAVIA  GTO                 ,GAVIA LA CORTAZAR             ,5A,1,12.868,21.063,3,154.4,n/c,2023,27/09/2023,125
80DP08E265500005,068850400931,MPIO CORTAZAR,EL COLORADO  GTO              ,COLORADO EL CORTZAR           ,5A,1,0.662,2.125,3,7.9333,n/c,2023,26/09/2023,11
80DP08E045500005,068991050161,MPIO CORTAZAR,SAN AGUSTIN CULIACAN  GTO     ,SAN ISIDRO CULIACAN CORTAZA   ,5A,1,3.181,4.59,3,38.1667,n/c,2023,29/09/2023,30
80DP08E055500001,068851100940,MPIO CORTAZAR,CANADA DE CARACHEO  GTO       ,CANADA DE CARACHEO CORTAZAR   ,5A,3,43.037,27.761,3,516.4333,n/c,2023,25/09/2023,433
80DP08E105500005,068790300941,MPIO CORTAZAR,SANTA FE DE LA PURISIMA  GTO  ,SANTA FE DE LA PURISIMA COR   ,5A,1,5.606,3.295,3,67.2667,n/c,2023,29/09/2023,54
80DP08E135500005,068800600948,MPIO CORTAZAR,EL DIEZMO  GTO                ,NULL,5A,1,12.025,10.84,3,144.3,n/c,2023,26/09/2023,128
80DP08E155500005,068830300949,MPIO CORTAZAR,GALERAS DE CORTAZAR  GTO      ,GALERAS DE CORTAZAR           ,5A,1,4.406,3.13,3,52.8667,n/c,2023,27/09/2023,42
80DP08E235500005,068850300759,MPIO CORTAZAR,EL HUITZACHE  GTO             ,HUIZACHE EL CORTAZAR          ,5A,1,8.7,8.785,3,104.4,n/c,2023,27/09/2023,105
80DP08E255500005,068851200944,MPIO CORTAZAR,LA CONCEPCION  GTO            ,CONCEPCION LA CORTAZAR        ,5A,1,3.887,2.745,3,46.6333,n/c,2023,26/09/2023,48
80DP08E305500005,068810800465,MPIO CORTAZAR,SAUZ DE MERINO  GTO           ,SAUZ DE MERINO CORTAZAR       ,5A,1,1.675,1.995,3,20.1,n/c,2023,29/09/2023,16
80DP08E315500005,068870500941,MPIO CORTAZAR,VALENCIA DE FUENTES           ,VALENCIA DE FUENTES CORTZAR   ,5A,1,6.406,2.995,3,76.8667,n/c,2023,30/09/2023,80
70DP08E017701140,068150150462,MPIO CORTAZAR,PARQUE RECREATIVO S N         ,CENTRO CORTAZAR               ,5A,2,0.625,0.955,2,7,UG463A,2023,25/09/2023,8
